SampleName	FileName	Mix
3-1	3-1.ReadsPerGeneCol4.ercc.tab	M1
3-2	3-2.ReadsPerGeneCol4.ercc.tab	M2
3-3	3-3.ReadsPerGeneCol4.ercc.tab	M1
3-4	3-4.ReadsPerGeneCol4.ercc.tab	M2
3-5	3-5.ReadsPerGeneCol4.ercc.tab	M1
3-6	3-6.ReadsPerGeneCol4.ercc.tab	M2
4-1	4-1.ReadsPerGeneCol4.ercc.tab	M1
4-2	4-2.ReadsPerGeneCol4.ercc.tab	M2
4-3	4-3.ReadsPerGeneCol4.ercc.tab	M1
4-4	4-4.ReadsPerGeneCol4.ercc.tab	M2
4-5	4-5.ReadsPerGeneCol4.ercc.tab	M1
4-6	4-6.ReadsPerGeneCol4.ercc.tab	M2
5-1	5-1.ReadsPerGeneCol4.ercc.tab	M1
5-2	5-2.ReadsPerGeneCol4.ercc.tab	M2
5-3	5-3.ReadsPerGeneCol4.ercc.tab	M1
5-4	5-4.ReadsPerGeneCol4.ercc.tab	M2
5-5	5-5.ReadsPerGeneCol4.ercc.tab	M1
5-6	5-6.ReadsPerGeneCol4.ercc.tab	M2
6-1	6-1.ReadsPerGeneCol4.ercc.tab	M1
6-2	6-2.ReadsPerGeneCol4.ercc.tab	M2
6-3	6-3.ReadsPerGeneCol4.ercc.tab	M1
6-4	6-4.ReadsPerGeneCol4.ercc.tab	M2
6-5	6-5.ReadsPerGeneCol4.ercc.tab	M1
6-6	6-6.ReadsPerGeneCol4.ercc.tab	M2
7-1	7-1.ReadsPerGeneCol4.ercc.tab	M1
7-2	7-2.ReadsPerGeneCol4.ercc.tab	M2
7-3	7-3.ReadsPerGeneCol4.ercc.tab	M1
7-4	7-4.ReadsPerGeneCol4.ercc.tab	M2
7-5	7-5.ReadsPerGeneCol4.ercc.tab	M1
7-6	7-6.ReadsPerGeneCol4.ercc.tab	M2
9-1	9-1.ReadsPerGeneCol4.ercc.tab	M1
9-2	9-2.ReadsPerGeneCol4.ercc.tab	M2
9-3	9-3.ReadsPerGeneCol4.ercc.tab	M1
9-4	9-4.ReadsPerGeneCol4.ercc.tab	M2
9-5	9-5.ReadsPerGeneCol4.ercc.tab	M1
9-6	9-6.ReadsPerGeneCol4.ercc.tab	M2
11-1	11-1.ReadsPerGeneCol4.ercc.tab	M1
11-2	11-2.ReadsPerGeneCol4.ercc.tab	M2
11-3	11-3.ReadsPerGeneCol4.ercc.tab	M1
11-4	11-4.ReadsPerGeneCol4.ercc.tab	M2
11-5	11-5.ReadsPerGeneCol4.ercc.tab	M1
11-6	11-6.ReadsPerGeneCol4.ercc.tab	M2
2-1	2-1.ReadsPerGeneCol4.ercc.tab	M1
2-2	2-2.ReadsPerGeneCol4.ercc.tab	M2
2-3	2-3.ReadsPerGeneCol4.ercc.tab	M1
2-4	2-4.ReadsPerGeneCol4.ercc.tab	M2
2-5	2-5.ReadsPerGeneCol4.ercc.tab	M1
2-6	2-6.ReadsPerGeneCol4.ercc.tab	M2
